question,answer
How long is the internship?,The internship runs for 2 months and includes 6 tasks.
How many tasks do I need to complete?,"There are 6 tasks total, roughly one every 10 days."
Where do I submit my work?,Submit your work through the Submit Work button on each task page.
What should I include in my submission?,"Include your code, a README explaining your approach, and your results."
Can I use my own dataset?,"Yes, you can use your own dataset as long as it fits the task objective."
Do I get a certificate?,"Yes, a certificate is issued after all tasks are completed and approved."
What if I miss a deadline?,Contact your mentor as soon as possible to discuss an extension.
Can I ask for help on a task?,"Yes, reach out to your mentor or support team through the portal."
What tools do I need to install?,"Python and the specific libraries mentioned in each task guideline, like pandas and scikit-learn."
Is this internship paid?,Please check your offer letter or contact support for details on compensation.
How do I know if my task was approved?,You will receive a notification or status update on the task portal.
Can I redo a task after submission?,Contact your mentor to check if resubmission is allowed for your task.
What is the guidelines button for?,The Guidelines button shows the full requirements and objective for that task.
Do I need prior AI experience?,"No, tasks are designed to teach concepts as you go, starting from basics."
How do I contact support?,"Use the support/contact option in the portal, or email the provided support address."
